City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
prince rupert,54.3161,-130.3201,4.83,90,100,12.35,CA,1701544472
dano,11.15,-3.0667,31.45,17,39,2.62,BF,1701544275
tuba city,36.135,-111.2399,7.43,46,6,1.83,US,1701544472
greymouth,-42.4667,171.2,15.74,99,100,6.77,NZ,1701544473
al jawf,29.5,38.75,16.18,43,0,4.88,SA,1701544473
socorro,31.6546,-106.3033,13.6,43,0,4.63,US,1701544473
as sulayyil,20.4607,45.5779,19.14,33,0,3.98,SA,1701544474
sola,-13.8833,167.55,26.88,83,100,8.91,VU,1701544474
crescent city,41.756,-124.2018,12.88,99,100,7.2,US,1701544453
fuerte olimpo,-21.0415,-57.8738,40.89,23,81,4.81,PY,1701544475
sulphur springs,33.1385,-95.6011,14.08,49,100,2.14,US,1701544475
nishinoomote,30.7333,131.0,13.15,65,100,9.76,JP,1701544475
bandon,51.7469,-8.7425,4.77,88,62,1.61,IE,1701544476
villa la angostura,-40.7617,-71.6463,6.0,78,80,5.06,AR,1701544476
vila velha,-20.3297,-40.2925,30.97,80,40,6.17,BR,1701544268
conduaga,8.862,117.4893,26.07,85,100,1.15,PH,1701544477
nadym,65.5333,72.5167,-24.46,91,13,4.73,RU,1701544477
slupsk,54.4641,17.0287,0.25,97,100,1.95,PL,1701544477
queenstown,-31.8976,26.8753,18.44,76,79,2.04,ZA,1701544478
grants,35.1473,-107.8514,5.13,33,0,5.66,US,1701544478
dryden,49.7833,-92.7503,-1.84,64,100,4.63,CA,1701544478
newnham,-41.3833,147.1333,13.81,94,40,2.06,AU,1701544479
solleftea,63.1667,17.2667,-12.08,97,100,1.66,SE,1701544479
kencong,-8.2833,113.3667,25.23,84,100,0.82,ID,1701544479
pimentel,-6.8367,-79.9342,26.16,61,0,10.29,PE,1701544479
luderitz,-26.6481,15.1594,19.12,67,9,8.71,NA,1701544480
pastos bons,-6.6017,-44.0767,35.39,31,100,3.42,BR,1701544480
simanggang,1.2472,111.4528,24.99,94,100,0.0,MY,1701544480
nagqu,31.5,92.0,-8.6,51,69,1.25,CN,1701544481
diego de almagro,-26.3667,-70.05,29.12,14,0,6.09,CL,1701544481
qulsary,46.9531,54.0198,9.77,83,100,7.88,KZ,1701544481
tadine,-21.55,167.8833,22.8,77,62,2.12,NC,1701544482
riohacha,11.5444,-72.9072,34.06,46,20,10.29,CO,1701544482
shimoda,34.6667,138.95,9.35,74,4,4.43,JP,1701544482
issoudun,47.0,1.8333,-2.17,86,0,2.57,FR,1701544483
beloretsk,53.9631,58.3981,-2.49,98,99,1.34,RU,1701544185
margate,51.3813,1.3862,-1.5,75,5,3.77,GB,1701544483
port augusta,-32.5,137.7667,16.19,67,0,2.74,AU,1701544483
hasaki,35.7333,140.8333,1.22,51,100,1.8,JP,1701544484
boa vista,2.8197,-60.6733,34.99,34,40,4.63,BR,1701544484
dergachi,51.2328,48.7659,-2.78,83,96,4.84,RU,1701544485
patterson,37.4716,-121.1297,14.5,70,100,2.87,US,1701544485
trujillo,-8.116,-79.03,21.98,78,49,5.14,PE,1701544485
freetown,8.484,-13.2299,28.84,79,40,4.63,SL,1701544486
guerrero negro,27.9769,-114.0611,20.12,46,0,1.96,MX,1701544486
linkou,45.3,130.2833,-19.5,100,26,0.79,CN,1701544486
pout,14.7739,-17.0603,27.42,65,0,6.17,SN,1701544486
mount isa,-20.7333,139.5,25.87,73,100,1.03,AU,1701544487
utete,-7.986,38.758,24.23,96,100,1.84,TZ,1701544487
nueva gerona,21.8833,-82.8,28.76,66,90,5.61,CU,1701544487
betio village,1.358,172.9211,27.02,81,100,6.61,KI,1701544488
puerto baquerizo moreno,-0.9,-89.6,28.55,74,20,8.23,EC,1701544336
sinjai,-5.1241,120.253,25.23,83,100,1.6,ID,1701544488
masterton,-40.9597,175.6575,13.82,76,100,3.5,NZ,1701544245
coahuayana de hidalgo,18.7,-103.6583,30.51,51,100,1.29,MX,1701544489
lagoa,39.05,-27.9833,14.43,60,100,9.32,PT,1701544489
manavalakurichi,8.1333,77.3,26.38,86,100,2.32,IN,1701544490
nova sintra,14.8667,-24.7167,23.06,75,100,4.93,CV,1701544490
sept-iles,50.2001,-66.3821,-3.0,65,20,2.57,CA,1701544490
nuku'alofa,-21.1333,-175.2,28.19,83,20,5.66,TO,1701544490
hermansverk,61.1846,6.8502,-6.75,92,20,0.0,NO,1701544491
vryburg,-26.9566,24.7284,26.22,18,5,2.1,ZA,1701544491
zharkent,44.1628,80.0,4.66,61,98,2.02,KZ,1701544491
agnibilekrou,7.1344,-3.2047,26.03,62,69,0.9,CI,1701544492
chibougamau,49.9168,-74.3659,-10.21,92,20,0.0,CA,1701544492
melekeok village,7.4957,134.6367,27.31,89,75,3.09,PW,1701544492
dabou,5.3256,-4.3769,26.82,85,95,3.17,CI,1701544455
castlewood,39.5847,-104.9011,5.31,30,20,10.29,US,1701544493
lompoc,34.6391,-120.4579,19.88,48,0,5.14,US,1701544493
baruun-urt,46.6806,113.2792,-8.83,75,97,8.24,MN,1701544494
constantia,44.1833,28.65,13.38,81,100,5.67,RO,1701544460
cox's bazar,21.4532,91.9798,23.12,69,100,2.42,BD,1701544494
kingscliff,-28.2667,153.5667,21.89,83,18,3.09,AU,1701544494
horta,38.5333,-28.6333,15.8,62,40,5.81,PT,1701544495
birzebbuga,35.8258,14.5269,18.42,68,0,6.69,MT,1701544495
weno,7.4515,151.8468,28.77,73,67,7.98,FM,1701544496
kavaratti,10.5669,72.642,28.71,73,11,3.94,IN,1701544496
malindi,-3.2175,40.1191,26.93,84,80,5.35,KE,1701544496
champerico,14.3,-91.9167,35.3,64,0,3.84,GT,1701544496
misratah,32.3754,15.0925,21.96,34,100,3.09,LY,1701544497
nassau,40.7507,-73.5829,15.82,82,0,4.12,US,1701544241
george town,5.4112,100.3354,26.12,83,20,1.54,MY,1701544359
fortaleza,-3.7227,-38.5247,29.48,55,20,6.69,BR,1701544496
namtsy,62.7161,129.6658,-37.0,100,100,1.41,RU,1701544498
kavieng,-2.5744,150.7967,27.61,77,100,3.05,PG,1701544498
chegdomyn,51.1167,133.0167,-21.01,99,64,0.9,RU,1701544498
sarykemer,43.0,71.5,4.71,30,3,2.87,KZ,1701544499
labytnangi,66.6572,66.4183,-15.17,93,100,6.47,RU,1701544499
xiongzhou,25.1167,114.3,10.41,76,100,1.39,CN,1701544500
san andres,12.5847,-81.7006,31.01,70,20,5.14,CO,1701544381
ramanuj ganj,23.8,83.7,17.43,82,43,1.23,IN,1701544500
loandjili,-4.7561,11.8578,26.35,81,90,2.55,CG,1701544500
akureyri,65.6835,-18.0878,-4.04,86,75,1.54,IS,1701544501
ghat,24.9647,10.1728,22.44,13,99,4.22,LY,1701544502
sao joao da barra,-21.6403,-41.0511,29.05,87,1,6.04,BR,1701544503
tsiombe,-25.3,45.4833,21.34,61,88,6.99,MG,1701544503
machico,32.7,-16.7667,18.17,76,20,2.06,PT,1701544503
byron bay,-28.65,153.6167,20.39,94,30,3.6,AU,1701544504
kingston,17.997,-76.7936,30.69,64,20,11.32,JM,1701544505
fort mcmurray,56.7268,-111.381,-6.27,79,100,1.54,CA,1701544505
nahiyat al fuhud,30.9697,46.7228,17.78,37,0,3.79,IQ,1701544505
pahlgam,34.0333,75.3333,-1.39,44,100,4.38,IN,1701544506
santa ponsa,39.5087,2.4766,15.56,55,0,9.55,ES,1701544506
san luis de la loma,17.2706,-100.8939,30.24,55,42,2.43,MX,1701544507
minbu,20.1833,94.8833,22.3,71,100,1.36,MM,1701544507
mogocha,53.7333,119.7667,-19.94,99,97,0.92,RU,1701544507
chifeng,42.2683,118.9636,-6.44,53,0,2.69,CN,1701544508
guadalajara,20.6667,-103.3333,22.87,33,75,1.54,MX,1701544507
brookings,44.3114,-96.7984,4.14,59,0,7.72,US,1701544228
eraan,9.0629,117.7016,26.13,88,95,1.99,PH,1701544509
tejen,37.3834,60.5054,12.96,49,0,4.23,TM,1701544509
hirara,24.8,125.2833,21.15,73,100,6.17,JP,1701544510
mafinga,-7.25,35.0667,26.18,52,97,3.2,TZ,1701544510
talara,-4.5772,-81.2719,28.42,57,0,3.6,PE,1701544510
aripuana,-9.1667,-60.6333,35.41,36,98,1.17,BR,1701544511
tefe,-3.3542,-64.7114,34.06,55,40,2.06,BR,1701544511
nova olinda do norte,-3.8881,-59.0942,33.99,45,100,1.14,BR,1701544512
male,4.1748,73.5089,27.97,89,75,2.57,MV,1701544512
berezovo,63.9381,65.0419,-14.16,93,100,4.43,RU,1701544512
nova vicosa,-17.8919,-39.3719,28.17,66,3,7.52,BR,1701544513
siparia,10.1333,-61.5,31.01,78,10,5.35,TT,1701544513
rogovskaya,45.7312,38.7396,14.04,69,87,6.39,RU,1701544514
luau,-10.7073,22.2247,18.17,97,96,0.79,AO,1701544514
iaciara,-14.0958,-46.6317,34.83,28,64,3.23,BR,1701544514
ambam,2.3833,11.2833,20.94,98,100,0.97,CM,1701544515
mapleton,40.1302,-111.5785,3.69,84,100,2.57,US,1701544515
berbera,10.4396,45.0143,26.93,63,100,3.56,SO,1701544516
bubaque,11.2833,-15.8333,28.03,67,100,5.8,GW,1701544516
keflavik,64.0049,-22.5624,-2.76,86,0,2.57,IS,1701544517
ataq,14.5377,46.8319,18.16,26,4,0.77,YE,1701544517
baume-les-dames,47.353,6.3612,-1.23,95,100,0.82,FR,1701544518
hunchun,42.8675,130.3581,-7.25,72,7,4.56,CN,1701544518
urzhar,47.093,81.6294,2.89,60,100,1.17,KZ,1701544519
purbalingga,-7.3881,109.3639,24.4,92,100,0.79,ID,1701544519
qamdo,31.1667,97.2333,-6.36,54,44,1.8,CN,1701544520
bol,13.4586,14.7147,26.66,43,52,4.33,TD,1701544520
ingeniero jacobacci,-41.3427,-69.5448,11.14,20,100,10.14,AR,1701544520
bengkulu,-3.8004,102.2655,24.39,93,100,1.77,ID,1701544521
victorica,-36.2151,-65.4359,21.94,20,98,7.26,AR,1701544521
siwa oasis,29.2041,25.5195,17.27,55,44,1.78,EG,1701544521
armacao de buzios,-22.7469,-41.8817,30.09,82,6,4.14,BR,1701544522
manaure,11.7751,-72.4445,30.78,55,17,10.47,CO,1701544522
yeppoon,-23.1333,150.7333,24.88,87,100,0.46,AU,1701544523
bloemfontein,-29.1211,26.214,23.71,35,6,2.06,ZA,1701544524
sitka,57.0531,-135.33,3.94,70,40,0.0,US,1701544524
mianke mor,31.2,73.95,16.99,47,0,0.73,PK,1701544524
nyurba,63.2842,118.3319,-42.74,100,94,0.35,RU,1701544525
suyan,6.0603,125.3853,24.62,90,56,1.99,PH,1701544525
hammerfest,70.6634,23.6821,-7.75,62,29,2.06,NO,1701544526
lesnoy,57.6198,63.0784,-9.77,94,100,6.06,RU,1701544526
mount pearl,47.5166,-52.7813,4.14,93,100,2.57,CA,1701544526
umunede,6.2637,6.3116,26.72,62,90,2.13,NG,1701544527
baoqing,46.3317,132.2111,-19.48,98,21,2.1,CN,1701544527
jayapura,-2.5333,140.7,23.66,89,100,1.9,ID,1701544527
lakatoro,-16.0999,167.4164,26.63,82,100,4.09,VU,1701544528
boende,-0.2167,20.8667,22.5,96,99,0.68,CD,1701544528
wharton,29.3116,-96.1027,18.85,88,100,3.4,US,1701544528
san patricio,28.017,-97.5169,22.17,62,100,5.85,US,1701544529
novoarkhanhel's'k,48.658,30.8182,3.45,99,100,3.89,UA,1701544530
strezhevoy,60.7333,77.5889,-17.24,98,97,0.89,RU,1701544530
manthani,18.65,79.6667,22.46,58,95,1.18,IN,1701544391
vernon,50.2581,-119.2691,1.45,86,87,0.51,CA,1701544531
tabou,4.423,-7.3528,26.98,84,65,3.51,CI,1701544531
lodwar,3.1191,35.5973,31.72,34,57,5.88,KE,1701544531
orsa,54.5153,30.4053,-10.41,98,100,1.46,BY,1701544532
kalmunai,7.4167,81.8167,25.23,85,100,2.16,LK,1701544532
jieshou,33.2634,115.3611,4.04,48,8,2.06,CN,1701544533
aioun,16.6614,-9.6149,30.16,12,100,4.35,MR,1701544533
burnie,-41.0667,145.9167,14.69,91,100,2.16,AU,1701544534
severnoye,56.3491,78.3619,-9.45,96,86,3.13,RU,1701544534
ulsteinvik,62.3432,5.8487,0.97,74,99,3.13,NO,1701544534
laredo,27.5064,-99.5075,21.16,60,0,3.6,US,1701544488
tashtagol,52.7657,87.8894,-0.27,96,100,4.02,RU,1701544535
budva,42.2864,18.84,17.97,75,100,4.63,ME,1701544535
poronaysk,49.2167,143.1167,-11.7,88,44,2.03,RU,1701544536
blankenhain,50.8599,11.3439,-3.27,96,95,2.35,DE,1701544536
butte,39.6499,-121.5677,11.12,90,100,5.66,US,1701544537
gumla,23.05,84.55,17.72,71,100,1.63,IN,1701544537
